s1,s2,label,de_pred,gpt_pred
手前にはキリンが1頭、奥には4頭のシマウマが見えます。,草原の中をキリンとシマウマの群れが闊歩している。,1,1,0
草原の中をキリンとシマウマの群れが闊歩している。,手前にはキリンが1頭、奥には4頭のシマウマが見えます。,1,1,0
たくさんの人が凧を見上げています。,たくさんの人が凧を無視している。,2,2,1
たくさんの人が凧を無視している。,たくさんの人が凧を見上げています。,2,2,0
調理パンやッサンドイッチが売られています。,棚に焼きそばパンが置かれています。,1,1,2
テストをしています。,駅のホームに列車が三両停車しています。,2,2,1
お手洗いと浴槽の間にカーテンが付けられています。,バスルームに白いシャワーカーテンが取り付けられています。,1,1,0
トレーの上に、パンが何種類も並んでいます。,トレーの上に、パンがありません。,2,2,0
トレーの上に、パンが何種類も並んでいます。,トレーの上に、パンが一個あります。,2,2,1
トレーの上に、パンが何種類も並んでいます。,トレーの上に、パンの代わりにご飯があります。,2,2,1
トレーの上に、パンがありません。,トレーの上に、パンが何種類も並んでいます。,2,2,1
トレーの上に、パンの代わりにご飯があります。,トレーの上に、パンが何種類も並んでいます。,2,2,0
トレイの上に11個のカップケーキが並んでいます。,トレイの上にケーキが並べて置かれています。,0,0,1
草原で羊達が前かがみになっています。,牧草地で、放牧中の羊が草を食べています。,1,1,0
牧草地で、放牧中の羊が草を食べています。,草原で羊達が前かがみになっています。,1,1,0
野球のピッチャーがボールを投げようと構えています。,ピッチャーがボールを持って構えています。,0,0,1
フリスビーを手に持って構えています。,林の中でオレンジ色のフリスビーを投げようとしている人がいます。,1,1,0
面と向かい携帯で話している２人がいます。,男性と女性が携帯電話で話をしています。,1,1,0
男性と女性が携帯電話で話をしています。,面と向かい携帯で話している２人がいます。,1,1,0
男性がスノーボードでジャンプをしています。,青年がスノーボードで楽しんでいます。,0,0,1
青年がスノーボードで楽しんでいます。,男性がスノーボードでジャンプをしています。,1,1,2
お城が右手に見える道を車が走っている。,道路の脇には絵文字を使った交通標識のポールがあり、道路を通過する車がその前を通る直前です。,1,1,0
黄色の縁取りのしてある皿にはピザがのせてあります。,黄色いふちのお皿に、ホールピザがのっています。,1,1,0
長方形のテーブルがたくさん並んだ場所で飲み物が置かれたテーブルで小さいノートパソコンを操作する複数の人物がいます。,机に向かいあってパソコンを操作している人たちがいます。,1,1,0
机に太陽電池のパネルが取り付けられています。,椅子の背もたれに太陽電池のパネルが取り付けられています。,2,2,1
コンセントでバッテリーを充電している。,屋外に置かれた椅子の上で、太陽電池でバッテリーの充電をしています。,2,2,1
山のふもとの港に船がたくさん停まっています。,水辺にヨットや船が浮かんでいる風景です。,1,1,0
海でサーファーが波に乗っています。,空は白く、波が高いところで、サーフィンをしている人がいます。,1,1,0
空は白く、波が高いところで、サーフィンをしている人がいます。,海でサーファーが波に乗っています。,0,0,2
青い服の女の子が髪の毛をいじりながら飲み物を飲んでいます。,二人の女の子がピザを前にして並んで座っています。,1,1,2
プランターの縁に鳥が止まっています。,植物の生えたプランターに小鳥たちが来ています。,1,1,0
ベッドのうえにひとの形の絵がのせられています。,手前にあるベッドの上に人間をかたどった紙があります。,1,1,0
大きな川の上の鉄橋を、貨物列車が走っています。,水面の上には橋が架かっており、橋の上を黒い電車が通っています。,1,1,2
国旗を後ろにつけたバイクに男性がまたがっています。,国旗を後ろにつけたバイクに女性がまたがっています。,2,2,1
国旗を後ろにつけたバイクに男性がまたがっています。,何も飾っていないバイクに男性がまたがっています。,2,2,1
国旗を後ろにつけたバイクに男性がまたがっています。,国旗を後ろにつけた自転車に男性がまたがっています。,2,2,1
国旗を後ろにつけたバイクに女性がまたがっています。,国旗を後ろにつけたバイクに男性がまたがっています。,2,2,1
何も飾っていないバイクに男性がまたがっています。,国旗を後ろにつけたバイクに男性がまたがっています。,2,2,1
国旗を後ろにつけた自動車に男性が乗っています。,国旗を後ろにつけたバイクに男性がまたがっています。,2,2,1
テーブルの上にはピザがのった皿が二枚あります。,焼き上がったピザの上に、生の緑色の野菜とチーズやトマトがのせてあります。,1,1,2
ブロッコリーとピザが皿の上にのっています。,ポテトとピザが皿の上にのっています。,2,2,1
ブロッコリーとピザが皿の上にのっています。,コーラとピザが皿の上にのっています。,2,2,1
ポテトとピザが皿の上にのっています。,ブロッコリーとピザが皿の上にのっています。,2,2,1
港の広場に軍用機が展示されています。,青空の下、広場を背景に、丸いチーズショップの看板があります。,1,1,0
電子レンジ６台が棚の上においてあります。,ステンレス製の電子レンジが２段に３台ずつ並んでいます。,1,1,0
海の上で、サーファーが波に乗っています。,海の上でサーフィンをしている人がいます。,0,0,1
公園に停めた車の前に男女が立っています。,公園に自転車が停まっています。,2,2,1
公園に停めた車の前に男女が立っています。,車の前で男女が座っています。,2,2,1
公園に自転車が停まっています。,公園に停めた車の前に男女が立っています。,2,2,1
車の前で男女が座っています。,公園に停めた車の前に男女が立っています。,2,2,0
携帯電話とハブラシを一緒に片手で持っています。,人が右手で歯ブラシと携帯電話を握っています。,1,1,0
部屋の中に帽子を被ってネクタイを着けた男の子が立っています。,帽子をかぶってネクタイをした男の子が立っています。,0,0,1
砂浜にサーフボードが置いてあります。,ビーチにサーフボードが１個立てかけられています。,1,1,0
ビーチにサーフボードが１個立てかけられています。,砂浜にサーフボードが置いてあります。,0,0,1
人々がテーブルを囲んで立っています。,会食パーティーには正装をした人々が集っている。,1,1,2
海と山の連なる中に船が浮かんでいます。,切り立った崖に囲まれた海に一隻の船が浮かんでいます。,1,1,0
制服を着た男性が、大きなケーキにナイフを入れています。,紺色の制服を着た人々が集まり、1人の男性が台の上にあるケーキをナイフで切っています。,1,1,2
室内に木の扉とソファとベッドがあります。,明るい寝室の壁には空色であり木陰の絵があしらわれた壁紙が貼ってあります。,1,1,2
コンクリートの上にいる、馬が2頭で馬のお尻には、文字が書かれています。,人を乗せた馬が二頭、道に立っています。,1,1,0
電子機器の液晶画面に時計が映っています。,スマートフォンにアナログ時計が表示されています。,1,1,0
仮装した２人の人が乗った古い型の消防車が、沿道に多くの見物人のいる市街地を走行しています。,仮装した２人の人が乗った古い型の消防車が、沿道に多くの見物人のいる市街地を走行しています。,0,0,1
綺麗に整頓されているキッチンです。,部屋の真ん中に、赤い足に無垢の木のテーブルがあります。,1,1,2
帽子をかぶった人物が背中を向けて水辺に立っています。,帽子をかぶった人物が広場を歩いています。,2,2,1
帽子をかぶった人物が広場を歩いています。,帽子をかぶった人物が背中を向けて水辺に立っています。,2,2,1
バナナの木に青い鳥が止まっています。,バナナの木に黄色い鳥が止まっています。,2,2,1
ダウンジャケットを着た少女が、スキーをしています。,雪山にて、スキーを履いた女の子が微笑んでこちらを向いています。,1,1,0
男性が左手を上げながらホースで、ゾウに水をかけています。,男性がホースで象に水をかけています。,0,0,1
洗面台の流しの中に、ネコとドライヤーと洋服が入っています。,衣料品やドライヤーとともに、黒い猫が洗面所にいる。,1,1,0
衣料品やドライヤーとともに、黒い猫が洗面所にいる。,洗面台の流しの中に、ネコとドライヤーと洋服が入っています。,1,1,0
一匹の猫が青いベンチに座っています。,青いベンチの上にネコが一匹います。,0,0,1
石造りの建物が並んだ街角の様子です。,建物が連った道路に人々が立っている。,1,1,0
女性が、柵の中にいる牛を触っています。,牧場の柵の中の牛を女性が世話しています。,1,1,0
紙袋と傘を持った女性と2人の男性がいません。,紙袋と傘を持った女性と2人の男性がいる。,2,2,1
サッカーのゴールキーパーが2人います。,ゴールキーパーの女性がゴールの前に立ちサッカーボールをキャッチしています。,1,1,0
車内に座っている人物が装置を耳に当てています。,車内に座っている人物が装置を耳に当てています。,0,0,1
道路の隅に荷台を引っ張る動物がいます。,古い街並みの赤い煉瓦の家の前の道路に、荷車をひいた動物がいます。,1,1,0
交差点の角に壁に絵の書かれた緑の建物があります。,四つ角のある、1ドルショップの壁です。,1,1,2
草地の中に消火栓が設置されています。,駅構内に消火栓が設置されています。,2,2,1
女性が２人と、男性１人が、寿司屋の前にいる。,女性が２人と、男性１人が、焼きたてのピザを前に立っています。,2,2,1
男性3人が焼きたてのピザを前に立っています。,女性が２人と、男性１人が、焼きたてのピザを前に立っています。,2,2,1
女性が２人と、男性１人がタコ焼き屋の前にいます。,女性が２人と、男性１人が、焼きたてのピザを前に立っています。,2,2,0
野球の試合でバッティングするバッター。,大リーグの試合でバッターが構えています。,1,1,2
空港で、１機の飛行機の整備をしています。,ガレージで、１台の自動車の整備をしています。,2,2,1
空港で、１機の飛行機の整備をしています。,空港で、１機のヘリコプターの整備をしています。,2,2,1
ガレージで、１台の自動車の整備をしています。,空港で、１機の飛行機の整備をしています。,2,2,0
空港で、１機のヘリコプターの整備をしています。,空港で、１機の飛行機の整備をしています。,2,2,1
茶色いバスが止まっています。,屋内に展示された古いバスがあります。,1,1,0
部屋の奥の洗面台の左下に青い容器が置かれています。,洗面所は生理整頓がされておりきれいな状態です。,1,1,0
水辺に立っている象たちがいます。,象が水のみ場近くで立っていて数頭はかたまっている。,1,1,0
雪の中で、人々が傘を差しています。,吹雪の中で傘をさした人々が立っています。,1,1,0
吹雪の中で傘をさした人々が立っています。,雪の中で、人々が傘を差しています。,0,0,1
３個のカラフルなトッピングのドーナツです。,トレイの上には、カップに入ったドリンクと３つのドーナツがあります。,1,1,0
丸いテーブルを囲んで多くの人が食事をしています。,大勢の人が食事の置かれた丸テーブルを囲んでいます。,0,0,1
チーズやチキンが乗った一枚のピザがあります。,切り分けられたピザが白い台の上に乗っています。,1,1,0
洗面所にバッグを持った女の子がいます。,洗面所に女の子はいない。,2,2,0
路線バスの後ろを男性が乗ったリカンベントが走っています。,路線バスの前を男性が乗ったリカンベントが走っています。,2,2,1
草地の上を鳥の群れが歩いています。,川辺の芝生の上を白い鳥が歩いています。,1,1,0
ロープ一本で男性が時計塔の壁を塗装しています。,白い時計台の壁を塗装している人が居ます。,1,1,0
机の上にはキーボードとマウスとマグカップが置いてあります。,机の上に、マウスとキーボードとカップがあります。,0,0,1
キッチンの流し台の上にはたくさんの野菜がおいてあります。,台所には白い冷蔵庫とテーブルが置いてあります。,1,1,2
女性の左の肩に白い猫が乗っています。,男の肩に黒い猫が乗っている。,2,2,1
男の肩に白い猫がいる。,女性の左の肩に白い猫が乗っています。,2,2,1
右肩に猫が乗っている。,女性の左の肩に白い猫が乗っています。,2,2,1
スキーで雪山を滑っている人がいます。,スキーで雪山を登っている人がいます。,2,2,1
スキーで雪山を滑っている人がいます。,スキーで火山を滑っている人がいます。,2,2,1
スキーで雪山を滑っている人がいます。,スケートで雪山を滑っている人がいます。,2,2,1
スキーで雪山を登っている人がいます。,スキーで雪山を滑っている人がいます。,2,2,1
スケートで雪山を滑っている人がいます。,スキーで雪山を滑っている人がいます。,2,2,1
街の一角の路地にぽつんと小さな標識が立っています。,大きな標識が立っている。,2,2,1
街の一角の路地にぽつんと小さな標識が立っています。,たくさん小さな標識が立っている。,2,2,1
大きな標識が立っている。,街の一角の路地にぽつんと小さな標識が立っています。,2,2,1
たくさん小さな標識が立っている。,街の一角の路地にぽつんと小さな標識が立っています。,2,2,1
料理を前に笑顔の髭の生えた男性がいます。,男性が料理の置かれたテーブルについています。,1,1,0
男性が料理の置かれたテーブルについています。,料理を前に笑顔の髭の生えた男性がいます。,1,1,0
テーブルクロスの上の紙の上に、ドーナツ１個とティースプーン、コーヒーが入ったカップが置いてあります。,ドーナッツ、コーヒー、スプーンがマットの上にあります。,0,0,2
回りに建物がある車が止まっているスペースに複数の人物がいます。,男性が携帯電話で話をしています。,1,1,2
草むらに、茶色の馬と真っ白な馬がいます。,馬の群れが草原で草を食べています。,1,1,0
ピザが置かれたテーブルを囲んで四人の人が座っています。,ピザの置かれたテーブルを四人の人が囲んでいます。,0,0,1
穴にはさみやペンが差し込まれています。,鉛筆、はさみ、ペンが木の穴のある台に刺さっています。,1,1,0
鉛筆、はさみ、ペンが木の穴のある台に刺さっています。,穴にはさみやペンが差し込まれています。,0,0,1
階段でスケボーをしている人がいます。,道でスケボーをしている。,2,2,1
公園でスケボをしている人がいる。,スキー場でスキーやスノボをしている人がいる。,2,2,0
女性がハンバーガーのの置いてあるテーブルの前に座っています。,女性がハンバーガーの置いてあるテーブルの前に座っています。,0,0,1
駅に赤い蒸気機関車が入ってきました。,森の中のホームに蒸気汽関車がやってきました。,1,1,0
駅に赤い蒸気機関車が入ってきました。,駅のホームに蒸気機関車が進入しています。,0,0,1
白い皿にご飯、肉料理、そしてサラダが盛られています。,皿にチキンとライスとサラダが乗っています。,1,1,0
女性が赤いハサミを持って、見ています。,白いTシャツの女性が赤いハサミを手に持っています。,1,1,0
白いTシャツの女性が赤いハサミを手に持っています。,女性が赤いハサミを持って、見ています。,1,1,0
男性がはさみを使って何かを切ろうとしているところです。,大人の男性が、何かをハサミで切っています。,1,1,0
男性がスノーボードをつけて雪の上に座り込んでいます。,スノーボードを足につけた男性が雪の上で体育座りをしています。,1,1,0
飛行機の周りに大勢の人が集まっている。,展示されている飛行機を大勢が見学しています。,1,1,0
少年がバットを持ってバッターボックスに立っている。,少年野球の試合で、選手が左バッターボックスに入りバットを構えています。,1,1,0
少年野球の試合で、選手が左バッターボックスに入りバットを構えています。,少年がバットを持ってバッターボックスに立っている。,0,0,1
男性がサーフボードとパドルを使って波に乗っている。,男性がビーチで寝ている。,2,2,1
男性がサーフボードとパドルを使って波に乗っている。,男性がサーフボードを持って立っている。,2,2,1
男性がビーチで寝ている。,男性がサーフボードとパドルを使って波に乗っている。,2,2,1
男性がサーフボードを持って立っている。,男性がサーフボードとパドルを使って波に乗っている。,2,2,1
男性がボートを漕いでいる。,男性がサーフボードとパドルを使って波に乗っている。,2,2,0
トレーには二つの料理がのせられています。,プレートの上にパンとサラダが盛り付けられています。,1,1,0
犬が絨毯の上でボールと遊んでいます。,カーペットの上で犬がサッカーボールで遊んでいます。,1,1,0
山の麓の原っぱに黒い牛が何頭もいます。,山あいの野原に黒い牛が何頭もいます。,0,0,1
緑と青に色分けされたテニスコートで二人の男性が試合をしています。,テニスの試合をしているコートのそばに観客席があります。,1,1,0
台所の一角に白い冷蔵庫が置かれています。,台所の隅に白い冷蔵庫が置いてあります。,0,0,1
店頭に置かれた木製の台の上に果物が積まれています。,店頭に置かれた木製の台の上に果物がばら撒かれている。,2,2,1
店頭に置かれた木製の台の上に果物が積まれています。,店頭に置かれた木製の台の上に野菜が積まれています。,2,2,0
店頭に置かれた木製の台の上に果物がばら撒かれている。,店頭に置かれた木製の台の上に果物が積まれています。,2,2,1
店頭に置かれたプラスチック台の上に果物が積まれています。,店頭に置かれた木製の台の上に果物が積まれています。,2,2,1
店頭に置かれた木製の台の上に野菜が積まれています。,店頭に置かれた木製の台の上に果物が積まれています。,2,2,1
半ズボンを履いた人の間に子供が立っています。,小さな男の子が、大人を見上げています。,1,1,0
スーツを着た6人の男女が立っている。,数多くの表彰状の前で記念撮影する男女。,1,1,0
皿に載っているピザを取ろうとしている人がいます。,皿の上にある大きなピザを、取っている人がいます。,1,1,2
卓球台で男性プレイヤーがボールを打ち返しています。,テニスコートで男性プレイヤーがボールを打ち返しています。,2,2,1
カウンターに老人たちが立っています。,カウンターに白髪の男女が集まって話をしています。,1,1,0
森を流れる川に一羽の白い鳥が立っています。,森の木の陰に一羽の鳥が留まっています。,1,1,2
この通りの電柱には道路名と自転車専用泥の標識が消えています。,通りの電柱に道路名と自転車専用道路の標識がついています。,2,2,0
コートでテニスがおこなわれています。,男子テニスプレイヤーがコートでボールを突いています。,1,1,2
横になっている猫の足が見えています。,ジャンプしている猫の足が見えています。,2,2,1
立っている猫の足が見えています。,横になっている猫の足が見えています。,2,2,1
ジャンプしている猫の足が見えています。,横になっている猫の足が見えています。,2,2,1
傍に人々がいる前で人工の波の上でサーフィンボードにのっている人がいます。,激しい波に乗ってサーフィンをしている女性。,1,1,0
傍に人々がいる前で人工の波の上でサーフィンボードにのっている人がいます。,波の上でサーフボードに乗る人がいます。,0,0,1
ソファの横にクリスマスツリーがあってランプがともっています。,部屋の左側にクリスマスツリーとノートパソコンがあります。,1,1,2
砂の上にウマを連れた男性が立っています。,砂の上にウマを連れた男性が寝ています。,2,2,1
砂の上にウマを連れた男性が寝ています。,砂の上にウマを連れた男性が立っています。,2,2,1
砂の上にウマを連れた男性が走っています。,砂の上にウマを連れた男性が立っています。,2,2,0
白いプレートにピザやお寿司が盛り付けられています。,白いお皿に、握り寿司3つにピザとパンが盛り付けられています。,1,1,0
バッターボックスに、バットを振り切るバッターがいます。,右打者がバッターボックスでバットを振り切っています。,1,1,0
右打者がバッターボックスでバットを振り切っています。,バッターボックスに、バットを振り切るバッターがいます。,0,0,2
ネクタイを締める男性やヘッドホンをした男性、物を運ぶ女性などが集まっています。,ネクタイを捨てる男性やヘッドホンをした男性、物を運ぶ女性などが集まっています。,2,2,1
ネクタイを捨てる男性やヘッドホンをした男性、物を運ぶ女性などが集まっています。,ネクタイを締める男性やヘッドホンをした男性、物を運ぶ女性などが集まっています。,2,2,1
ネクタイを締める男性やヘッドホンを捨てる男性、物を運ぶ女性などが集まっています。,ネクタイを締める男性やヘッドホンをした男性、物を運ぶ女性などが集まっています。,2,2,1
紺色の制服姿の子ども達がたくさんいます。,小学校位の子供たちが制服を着て集まっています。,1,1,0
牧場で耳に黄色いタグをつけた牛たちが草を食べています。,牛たちが横に並んで、牧草を食べています。,1,1,0
大人のゾウが一頭と子どものゾウが二頭います。,土の上で大きなゾウの後ろに小さな子象が２匹付いてきています。,1,1,0
芝生の上にあるフライングディスクの前に黒い犬が伏せています。,緑の縁、中はピンクのフリスビーを前に、犬が舌を出して座っています。,1,1,0
海辺でサーフボードを持った男性が、海に向かって歩いています。,白いサーフボードを抱えた人が海の方へ歩いています。,1,1,0
白いサーフボードを抱えた人が海の方へ歩いています。,海辺でサーフボードを持った男性が、海に向かって歩いています。,1,1,0
滑走路に青いジェット機が一機います。,滑走路に一機の飛行機が止まっています。,0,0,1
滑走路に一機の飛行機が止まっています。,滑走路に青いジェット機が一機います。,1,1,2
キッチンには、鉄製の扉がある収納棚があります。,キッチンには、木製の扉がある収納棚があります。,2,2,1
芝生の上に小さい女の子がいて、凧を持っています。,女の子が広場で凧をあげようとしています。,1,1,0
線路の上には蒸気機関車があります。,黒い蒸気機関車が線路の上にあります。,1,1,0
スキー場のパークでスノーボーダーがジャンプを決めています。,スキー場でスノーボーダーがジャンプをしています。,0,0,1
背中に色の印を付けられた白い羊達がいます。,短い草のある段差のある岩場の下の平らな地面に置かれたたくさんの枯れ草のまわりに白いふわふわとした体毛をもつ動物が数頭います。,1,1,0
女性の目の前のテーブルに、料理が置かれています。,料理を前にして、女性が胸の下で両手を握っています。,1,1,0
結婚式の男女がケーキカットをしています。,新郎新婦がケーキカットをしています。,0,0,2
黒い人形の横におもちゃが置かれています。,黒い人形の横に食べ物と飲み物が置かれています。,2,2,1
サーファーが青いボードで波にのっています。,少年が青いボードでサーフィンをしています。,1,1,0
少年が青いボードでサーフィンをしています。,サーファーが青いボードで波にのっています。,0,0,2
１台のバスが停留所に停車しています。,１台のバスが停留所を去りました。,2,2,1
１台のバスが停留所に停車しています。,バスが走っています。,2,2,1
１台のバスが停留所を去りました。,１台のバスが停留所に停車しています。,2,2,1
バスが走っています。,１台のバスが停留所に停車しています。,2,2,1
ハンバーガーとフライドポテトが置いてあります。,お皿の上にたくさんのフライドポテトとハンバーガーが盛り付けられています。,1,1,0
動物注意の道路標識の向こうに２頭のシマウマがいます。,道の脇に二匹のシマウマがおり、その手前には標識が立っています。,1,1,0
道の脇に二匹のシマウマがおり、その手前には標識が立っています。,動物注意の道路標識の向こうに２頭のシマウマがいます。,1,1,2
とても広いリビングの真ん中にソファーがあります。,狭いリビングがあります。,2,2,1
とても広いリビングの真ん中にソファーがあります。,リビングの端にソファーがあります。,2,2,1
狭いリビングがあります。,とても広いリビングの真ん中にソファーがあります。,2,2,1
寝室にソファーがあります。,とても広いリビングの真ん中にソファーがあります。,2,2,1
花畑の上で傘をさして微笑んでいる女性がいます。,黄色い花の中にオレンジ色の傘をさした女性が立っています。,1,1,0
男性がワインを女性のグラスに注いでいます。,レストランで座っている女性のグラスにワインを注ごうとしている男性がいます。,1,1,0
レストランで座っている女性のグラスにワインを注ごうとしている男性がいます。,男性がワインを女性のグラスに注いでいます。,0,0,1
街路樹に壁掛け時計が取り付けられています。,高い木の幹に丸い時計がとりつけられています。,1,1,0
ブルーの小型機が低空飛行をしている。,飛行場から青い小型機が飛び立っています。,1,1,0
タイルの床の上に敷かれたカーペットの上に、椅子に座った3人の人間と伏せ姿の犬がいます。,犬と3人の男性がリビングにいます。,1,1,0
前輪が遠く離れたバイクにまたがる男女がいます。,道を行くイージーライダー風のバイクに、2人乗りをしています。,1,1,0
洗面所にいる男性を後ろの人が鏡越しに撮影しています。,白色の洗面台の鏡に、男性と女性が映っています。,1,1,0
まな板の上に、切られたしいたけとたまねぎがあります。,まな板の上にきのこと包丁と野菜が置かれています。,1,1,2
動物が木の枝の上でぶら下がっています。,人 が木の枝の上でぶら下がっています。,2,2,1
帽子 が木の枝の上でぶら下がっています。,動物が木の枝の上でぶら下がっています。,2,2,1
人 が木の枝の上でぶら下がっています。,動物が木の枝の上でぶら下がっています。,2,2,1
テーブルの上に皿に盛られたドーナツが置かれています。,3つの皿の上にいろいろなドーナツがあります。,1,1,0
3つの皿の上にいろいろなドーナツがあります。,テーブルの上に皿に盛られたドーナツが置かれています。,1,1,2
駐車場にオレンジにペイントされた二階建てバスが止まっています。,駐車場にオレンジにペイントされた二階建てバスが走っています。,2,2,1
駐車場にオレンジにペイントされた二階建てバスが走っています。,駐車場にオレンジにペイントされた二階建てバスが止まっています。,2,2,1
子供のおもちゃもキッチンに一緒に並べられています。,コンロのうえにオーブンが設置されています。,1,1,0
砂浜で２人の男性がサーフボードを脇にかかえています。,海辺のビーチにて、二人の男性がサーフボードを持って歩いています。,1,1,0
海辺のビーチにて、二人の男性がサーフボードを持って歩いています。,砂浜で２人の男性がサーフボードを脇にかかえています。,1,1,0
男性が、雪のある場所でレールの上をスノーボードで滑っています。,スノーボードでレールの上を滑り降りている人がいます。,0,0,1
スノーボードでレールの上を滑り降りている人がいます。,男性が、雪のある場所でレールの上をスノーボードで滑っています。,1,1,0
汽車が描かれている四角い手作りケーキです。,汽車の絵が描かれている四角いケーキです。,0,0,1
乗り物のイラストが描かれた四角いものがあります。,汽車の絵や星が描かれている四角いケーキです。,1,1,0
物を積み上げた荷台を押している2人の男性が道の真ん中を歩いています。,道路を男性2人が緑の荷物を運んでいる。,1,1,0
二人組みの男性が台車を押しながら路上を歩いています。,物を積み上げた荷台を押している2人の男性が道の真ん中を歩いています。,1,1,0
トレーの上に、ホットドッグやライスなどを乗せたお皿が乗っています。,トレイにホッドドッグとライスがのっています。,0,0,1
ふきんの上にさかさまに伏せられたたくさんのグラスが置かれています。,流し台にたくさんのグラスが置かれています。,1,1,0
街角の階段で女性が電話をしています。,街角にて、ワンピース姿の女性が携帯電話で話をしています。,1,1,0
街角にて、ワンピース姿の女性が携帯電話で話をしています。,街角の階段で女性が電話をしています。,1,1,0
歩道の消火栓の横に子供が二人います。,消火栓の横に、子供と赤ちゃんが立っています。,1,1,0
棚の上にバナナの房がたくさん並んでいます。,商品棚にたくさんのバナナが置かれています。,1,1,0
道路を80番のプレートをつけた自動車が走っています。,道で灰色の80番のプレートをつけたライトバンが走っています。,1,1,0
白いＴシャツを着た男性がフリスビーを持ってジャンプしています。,フリスビーを持ってジャンプをしている人がいます。,0,0,1
白いトイレの水タンクが開いています。,青いTシャツの男性がトイレの側に座っています。,1,1,2
子どもの前にデコレートされていないケーキが置かれています。,子供の前にデコレートされたケーキが置かれています。,2,2,1
テーブルの上に、2台の携帯電話が置かれています。,テーブルに２個の携帯電話と２枚の紙のお金があります。,1,1,0
テーブルに２個の携帯電話と２枚の紙のお金があります。,テーブルの上に、2台の携帯電話が置かれています。,0,0,1
トラックの荷台に車が積まれています。,道を走るトラックにはトラクターが積んであります。,1,1,0
牛たちが柵の中から顔を出し餌の草を食べています。,牛たちが柵の中から顔を出し餌の草を食べています。,0,0,2
ポケットに鋏がたくさん入っています。,シザーケースに、たくさんの美容用のはさみがあります。,1,1,0
４人の子どもたちが横になっています。,ベッドの上に三人の少女と赤ちゃんが寝ている。,1,1,0
ベッドの上に三人の少女と赤ちゃんが寝ている。,４人の子どもたちが横になっています。,0,0,1
レールの上を車両の長い電車が走っています。,貨物列車が線路を走りぬけています。,1,1,0
道路に二階建てバスが通行しています。,街中をダブルデッカーバスが走っています。,1,1,0
水色のさらには野菜と肉が盛り付けてあります。,ブロッコリーと鶏肉のサラダです。,1,1,0
大きな荷物が置いてあるベンチのそばに、人が立っています。,男性がベンチに荷物を置いて立っています。,1,1,0
土と岩の広場にシマウマが2頭佇んでいます。,シマウマたちが草を食べています。,1,1,2
胸の大きな女性が日傘をさしています。,胸の大きな女性が眠っています。,2,2,1
鏡の上に活けられた花は置かれていない。,鏡の上に活けられた花が置かれています。,2,2,0
電車が街中の高架を走っています。,鉄橋の上を銀色の電車が走っているところです。,1,1,0
箱に入ったピザの蓋が、開けられているところです。,宅配用の容器にピザが入っています。,1,1,0
ベッドの周りに衣服を脱ぎ散らかしています。,ベッドのそばに服が脱ぎ散らかしてあります。,0,0,1
ガラスの器にブロッコリーとパスタが混ざっています。,ガラスのうつわにバスタがはいっています。,0,0,1
岩の上に二頭の茶色いくまがいます。,岩の上に大きな茶色のクマが２頭います。,1,1,0
岩の上に大きな茶色のクマが２頭います。,岩の上に二頭の茶色いくまがいます。,0,0,1
道路を、沢山の車が走っています。,道路の手前に、標識の付けられたポールがあります。,1,1,2
電車が通過しているホームで男の人が携帯電話を見ています。,男性が携帯電話で話している。,2,2,1
電車が通過しているホームで男の人が携帯電話を見ています。,電車が停車している。,2,2,1
男性が携帯電話で話している。,電車が通過しているホームで男の人が携帯電話を見ています。,2,2,0
電車が停車している。,電車が通過しているホームで男の人が携帯電話を見ています。,2,2,1
木の箱の上に黒い猫が寝転んでいます。,大人の黒い猫が何かを見続けています。,1,1,2
大人の黒い猫が何かを見続けています。,木の箱の上に黒い猫が寝転んでいます。,1,1,2
山が見える平原にベンチがあります。,草原にあるベンチの奥にはたくさんの山々が見えます。,1,1,0
道路の上を、１台のバイクが走っています。,草原の間のアスファルト上をオートバイで走る人がいます。,1,1,0
黄色いアーチ型の看板の下をバスが通過中。,赤と黄色のゲートの下を一台のバスが通過しています。,1,1,0
白衣を着た人たちが牛を引き連れて歩いている。,白衣を着た男性が牛を連れて歩いています。,1,1,0
洗面台の鏡に庭の緑が映っています。,一面白いバスルームには大きな窓があります。,1,1,0
青いTシャツを着た男の子が砂浜でフリスビーを投げています。,青い服を着た子供がフリスビーを投げています。,0,0,1
上空で飛行機が飛んでいるところです。,ジェット飛行機が上空を飛行しています。,1,1,0
赤と黒のウエアを着た人がスキーをしています。,黒い服に赤いズボンを履いた人がゲレンデでスキーをしています。,1,1,2
石造りの建物の上部に十字架があります。,古いレンガつくりの壁に十字架か掲げられていて上部のふちが規則的に凸凹したつくりの建物です。,1,1,0
外国人男性が、サーフィンを楽しんでいます。,男性がサーフィンをやっています。,0,0,1
帽子をかぶった男性がウマに股がっています。,人を乗せた馬が１頭歩いています。,1,1,0
雪山にて、二人のスキーヤーが滑走しています。,雪山を２人の人がスキーで滑り降りています。,0,0,1
砂浜で凧揚げをしてる人が一人います。,砂浜で一人の男性が凧揚げをしています。,1,1,0
台所の流しの横に銀色の入れ物があります。,ごみ捨て用のふたを開けているものとそうでないもの。,1,1,2
ベージュのソファーがある部屋には、黒いテレビや丸テーブルやキャンドル型の照明があります。,円形のテーブルの上にろうそくが二本立っています。,1,1,0
ステンレス製の手洗い場の窓から２台の飛行機が見えます。,空港の建物の中から飛行機が見えます。,1,1,0
